Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
04/15/1950,,"Santa Ana, Colombia",Lineas Aéreas Nacionales,,,Douglas C-47 (DC-3),HK-309,,25,25,0,
04/21/1950,23:25,"Near Atsugi, Japan",Military - U.S. Air Force,,Philippines - Japan,Douglas C-54D,42-72704,,35,35,0,Flew off its prescribed course and crashed into Mt. Tanzawa in a rainstorm.
05/02/1950,,"Chimborcza, Ecuador",AVIANCA,,Quito - Guayaquil,Douglas C-47DL,HK-120,4314,15,15,0,Flew into a mountain.
05/17/1950,20:59,"Lagens Air Force Base, Azores",Military - U.S. Air Force,,Bermuda - England,Boeing B-29,,,16,16,0,Crashed while attempting to land after being diverted to Lagens due to engine trouble.
05/23/1950,10:20,"Myrtle Beach, South Carolina",Military - U.S. Air Force,,,Curtiss C-46D,44-77577,32973,39,39,0,"Lost the left aileron after taking off, lost control and crashed."
05/27/1950,17:30,"Teterboro, New Jersey",Regina Cargo Airlines,,,Curtiss C-46F-1-CU,N9406H,22582,2,1,0,The cargo plane lost an engine on takeoff and crashed. Overloading of the aircraft due to faulty loading and dispatch procedures coupled with engine malfunctioning due to inadequate maintenance.
05/30/1950,,"Near Iheus, Brazil",Aerovias Brasil,,Victoria - Salvador,Douglas DC-3,PP-AVZ,9156,15,13,0,"During descent into dense cumulonimbus  clouds, severe turbulence was encountered which caused displacement of freight that led to an uncontrolled dive which resulted in the wings separating from the fuselage. Structural failure due to severe turbulence during a thunderstorm. Pilots decision to descend without clearing the turbulent area of weather."
06/05/1950,22:03,AtlantiOcean off Florida,Westair Transport,,San Juan - Wilmington NC,Curtiss C-46-F-1-CU,N1248N,22496,65,28,0,"Ditched into the Atlanti300 miles east of Melbourne, Florida on a flight from San Juan, Porto Rico to Wilmington, North Carolina due to failure of both engines. It sank in one of the deepest areas of the Atlantiand could not be recovered. Failure of both engines for reasons unknown."
06/09/1950,19:00,"Near Fonseca, Colombia",New Tribes Mission,,"Kingston, Jamacia - Maracaibo, Venezuela",Douglas DC-3-178,N16030,1546,15,15,0,Crashed and burned 19 miles east northeast of Fonseca well off course. Cause unknown.
06/12/1950,21:52,Off Bahrain,Air France,,Saigon - Paris,Douglas DC-4-1009,F-BBDE,42937,52,46,0,"While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
06/14/1950,21:55,Off Bahrain,Air France,,Saigon - Paris,Douglas DC-4-1009,F-BBDM,42990,53,40,0,"The aircraft crashed into the Persian Gulf while on approach on a flight from Saigon to Paris. Improper approach. Crew error. An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
06/23/1950,23:25,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",Northwest Orient Airlines,2501,New York City - Minneapolis-St. Paul,Douglas DC-4,N95425,10270,58,58,0,"En route from New York to Minneapolis, the aircraft crashed into Lake Michigan. The DC-4 was last reported at 3,500 ft. The crash occurred shortly after the aircraft entered an area of severe turbulence with thunderstorm activity. The wreckage was located in 150 feet of water but was not recoverable because it was in 30 feet of silt. The forecast of a squall line in the areas was not made available to the crew. Cause unknown."
06/26/1950,23:00,"York, Australia",Ansett ANA,,Guildford - Melbourne,Douglas DC-4-1009,VH-ANA,42910,29,29,0,"The airliner experienced trouble with all four engines. The crew attempted to return to Guildford but  in the dark, while in a 15 degree turn to port, the aircraft barely cleared a ridge line, struck a tree 30 feet off the ground and ploughed into a downward slope shredding itself and contents into small pieces. The aircraft was named 'Amana.'"
07/07/1950,,"Busan, South Korea",Military - U.S. Air Force,,,Douglas C-54G,45-0518,35971,23,23,0,Struck a mountain.
07/09/1950,,"Casablanca, Morocco",Aigle Azur,,Paris - Dakar,Douglas DC-3,F-BFGL,13824,29,22,0,Crashed on climb-out.
07/17/1950,,"Near Patharkot, India",Indian National Airlines,,Delhi - Sringagar,Douglas DC-3,VT-ATS,20359,22,22,0,The left wing separated from the plane in extreme turbulence from a thunderstorm.
07/18/1950,,"Near Bocoio, Angola",DTA Angola Airlines,,Nova Lisboa - Lobito,Douglas DC-3,CR-LBK,13769,9,9,0,
07/27/1950,04:30,"Off O-shima Island, Japan",Military - U.S. Air Force,,,Douglas C-47D,44-76439A,,26,25,0,"The aircraft took off from O-shima and reached an altitude of 3,500 feet after which a sudden unexplained descent was made until it crashed into the sea. The surviving witness stated the aircraft hit two moderate bumps followed by dimming of the lights before the descent."
07/28/1950,,"Porte Alegre, Brazil",Panair do Brasil,,Rio de Janeiro - Porte Algegre,Lockheed 049 Constellation,PP-PCG,2962,50,50,0,The aircraft flew into power lines during a landing attempt after running out of fuel while in a holding pattern.
07/29/1950,,"Tunbukta, Algeria",Cie Air Transport,,Algiers - Gao,Bristol 170 Freighter 21,F-BENF,12738,26,26,0,An explosion in the left wing fuel tank tore off the upper wing surface leading to loss of control of the aircraft.
08/05/1950,22:00,"Near Fairfield, California",Military - U.S. Air Force,,,Boeing B-29MR,46-87651,,20,12,7,"The No. 2 propeller began to overspeed during the takeoff. This was followed by overspeeding of the No. 3 propeller. The No. 3 propeller was successfully feathered  but then the landing gear would not retract. The aircraft was unable to gain altitude and the pilot slid the aircraft to the left to avoid a trailer park at the end of the runway. The aircraft stalled, fell to the ground and broke-up.  Killed in the accident was Brigadier General Robert E. Travis. The installation was later renamed Travis Air Force Base in his honor."
08/25/1950,,"Kampong Jenera, Malaysia",Military - Royal Air Force,,"Changi, Singapore - Kota Baru",Douglas C-47B,KN630,16538/33286,12,12,0,The plane crashed in the steep forested foothills in the Gua Musang district.
08/31/1950,00:03,"Near Wadi Natrun, Egypt",Trans World Airlines,903,Cairo - Rome,Lockheed 749A Constellation,N6004C,2636,55,55,0,"While en route from Cairo to Rome, witnesses observed the aircraft on fire. After turning back toward Cairo, it crashed and burned. Failure of the rear master rod bearing in the No. 3 engine that led to an uncontrollable fire. The aircraft was named 'Star of Maryland.'"
09/04/1950,14:10,"Utica, New York",Robinson Airlines,32,"Utica, NY - Newark, NJ",Douglas DC-3,N18936,2011,23,16,0,"Engine parts were observed falling from a height of 3,000 feet. Soon after, the plane was seen losing altitude until it crashed into trees 1.5 miles southeast of Oneida County Airport. Failure of the left engine shortly after takeoff coupled with increased drag due to loss of the left cowling and reduced power output of the right engine resulting from the high pitch position of the right propeller."
09/14/1950,,"Tehran, Iran",Iran Air,,,Douglas DC-3,EP-AAG,9813,8,8,0,Crashed during takeoff.
09/20/1950,05:20,"Kwajalein, Marshall Islands",Military - U.S. Navy,,Kwajzalein - Tokyo,Douglas R5D-3,56496,10624,26,26,0,Crashed into the sea and exploded 3 minutes after taking off from Kwajalein. Possible vertigo experienced by the pilot or malfunction of the instruments.
09/21/1950,,"Near Zagreb, Yugoslavia",JAT Yugoslav Airlines,,Belgrad - Paula,Douglas DC-3,YU-ABD,13311,11,10,0,Crashed during landing.
09/23/1950,,"Karlstad, Sweden",Svenska Aero,,Karlstad - Stockholm,Avro Ninteen I,SE-BRS,1321,10,10,0,"Reached an altitude of 200 feet, stalled and crashed to the ground."
09/26/1950,01:00,"Near Kyushu Island, Japan",Military - U.S. Air Force,,Ashiya AB - Kimpo AB,Douglas C-54D-DC (DC-4),42-72457,10562,51,23,0,Crashed in the Korea strait 1mile from the end of the runway after taking off from Ashiya Air Base.
10/13/1950,,"Casablanca, Morocco",Air Atlas,,Casablanca -  Algiers,Douglas DC-3,F-BAXM,20245,7,4,0,
10/13/1950,,"Almelund, Minnisota",Northwest Orient Airlines,,Training,Martin 202,NC93037,9158,6,6,0,"Crashed after making a steep right turn. The unwanted reversal of the right propeller during flight, as a result of which the crew was unable to maintain control of the aircraft."
10/17/1950,,"London, England",British European Airways,,London - Glasgow,Douglas C-47A,G-AGIW,12186,29,28,0,Crashed into trees on Mill Hill after engine failure during takeoff. Everyone except one flight attendant was killed.
10/31/1950,19:54,"London Heathrow, England",British European Airways,,Paris - London,Vickers 610 Viking-1B,G-AHPN,155,30,28,0,"Crashed in fog in an overshoot after deciding on a go-around. Although it cannot be established with certainty, the probable explanation of the known facts may be that the captain deliberately came down below break-off point and then at 100 ft. or less came into fog which abruptly reduced the visibility of the runway lights and that then and not till then he started overshoot procedure with fatal results."
11/03/1950,09:43,"Mont Blanc, France",Air India,245,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,VT-CQP,2506,48,48,0,The aircraft crashed in a snowstorm 200 meters below Mont Blansummit. The crew was warned by a Geneva controller to climb immediately. They acknowledged the message but soon after struck the mountain. The exact cause of the accident remains undetermined. Most likely the aircraft was caught in violent gust while trying to overfly the summit. The plane was named 'Malabar Princess.'
11/06/1950,08:15,"Butte, Montana",Northwest Orient Airlines,115,Helena - Butte,Martin 202,N93040,9161,21,21,0,"The pilot failed to follow the carrier's prescribed instrument approach to Butte Airport and crashed into a mountain at about the 8,250 foot level. Captain's failure to follow prescribed approach procedures."
11/13/1950,18:00,"Mt.  Tete de L'Obiou, France",Curtiss-Reid Flying Services Ltd. (Canada),,Rome - Paris,Douglas C-54B-1-DC,CF-EDN,10518,52,52,0,"The aircraft drifted 50 miles off the prescribed route and struck Mt. Tete de l'Obiou at 6,740 feet. The pilot probably realized the deviation and tried to take corrective action but did not see the mountain in time."
11/17/1950,,"Surabaya, Indonesia",Garuda Indonesia Airlines,,,Douglas DC-3,PK-DPB,19005,23,2,0,Veered off the runway and crashed into a ditch..
11/21/1950,,"Near Moran Junction, Wyoming",New Tribes Mission,,"Chico, CA - Billings, WY",Douglas DC-3,N74586,19711,21,21,0,"The aircraft  crashed into Mt. Moran at 11,200 ft., in a snowstorm while flying in IMC conditions. The accident was attributed to flight into IMC conditions with probable electrical failure due to a malfunctioning voltage regulator."
11/23/1950,,"Cuzco, Peru",Faucett,,Maldorado - Quincemil,Douglas DC-3,OB-PAU-201,15992/32740,9,9,0,Crashed into a hill in poor weather conditions while en route.
11/25/1950,,"Khitka, Bhutan",Indamer,,,Douglas C-47A,VT-COI,14037/25482,3,3,0,Failure of the pilots to remain alert and maintain a proper look out resulting in the aircraft flying into the side of a hill.
12/01/1950,,"Near Chamaran, Iran",Iran Air,,,Douglas DC-3,EP-AAJ,13572,8,8,0,Flew into a mountain.
12/08/1950,,"Ruig Piner, France",Air Atlas,,Casablanca - Perpignan,Douglas DC-3,F-BAXY,16100/32848,7,5,0,Flew into a mountain in the Pyrenees.
12/08/1950,,"Bangui, French Equatorial Africa",T.A. Intercontinentaux,,,Douglas C-54A,F-BELB,3084,56,46,0,Crashed into a mountain in the Pyrenees 5 minutes after takeoff. Crew error. Excessive low rate of climb at night in an unknown region and premature change of heading.
12/13/1950,,"Katagiri, India",Air India,,,Douglas DC-3,VT-CFK,14604/2604,21,21,0,Flew into a mountain due to a navigational error.
12/13/1950,,"Londrina, Brazil",VASP,,,Douglas DC-3,PP-SPT,20543,9,9,3,The aircraft crashed after losing its No. 1 engine on takeoff. Engine failure during takeoff. Pilot error. Short takeoff procedure used on an airfield where such a maneuver was not necessary.
12/15/1950,13:30,"Valera, Venezuela",Avensa,,Merida - Caracas,Douglas C-47-DL,YC-C-AVU,4432,31,31,0,"The aircraft crashed into mountains shortly after taking off.  Pilot error. The captain decided to cross the Seven Lagoons mountain range in severe overcast, thinking that he was 30 kms further north, where the range drops to 2,000m. Instead, he flew into 4,000m cliffs. In the last seconds, he realized he was in trouble and tried to gain altitude. For a hundred meters or so he cut through small trees, but finally crashed. A small fire followed."
12/19/1950,07:30,"Near Baguio, Philippines",Military - U.S. Air Force,,Naha AB - Clark AB,Douglas C54E-DO (DC-4),44-9096,27322,38,38,0,"Proceeding on instruments, the aircraft crashed into Mt. Tabayowhile en route.  Navigation error."
12/22/1950,13:53,"Penticton, British Columbia, Canada",Canadian PacifiAir Lines,4,Vancouver - Penticton,Douglas DC-3,CF-CUF,12855,18,2,0,Struck trees on  Mt. Okanagan while making an approach to Penticton. Drifted below the minimum altitude permissible.
12/30/1950,,"Santiago del Estado, Argentina",Aerolineas Argentinas,,Mar del Plata - Buenos,Douglas DC-3,LV-ACH,13027,18,17,0,Crashed 60 miles north of the airport after taking off from Mar del Plata.
01/12/1951,,"Ixopo, South Africa",United Airways,,,de Havilland Dove 1,ZS-DDW,04017,12,12,0,Broke up in turbulence.
01/13/1951,,"Mt. Bukit, Besar,Thailand",Air Carriers,,Butterworth - Kota Bharu,Douglas DC-3,VR-HEP,15782/32530,10,10,0,Crashed into Bukit Besar Mountain while en route.
01/14/1951,14:13,"Philadelphia, Pennsylvania",National Airlines,83,Newark - Philadelphia,Douglas DC-4-1009,N74685,43102,28,7,0,"The plane overshot the landing, ran into a ditch and caught fire. Pilot error in electing to land long, on a wet and snow covered runway instead of executing a missed approach."
01/16/1951,12:14,"Near Reardon, Washington",Northwest Orient Airlines,115,Minneapolis - Seattle,Martin 202,N93054,9144,10,10,0,"While cruising at 6,000 ft.,  the aircraft when out of control and into a dive, hitting the ground at 340 mph.  Officially the cause was never determined.  Possible in-flight fire, explosion, structural failure or conrol system failure."
01/17/1951,14:36,"Near Civitavecchia, Italy",Alitalia,,Paris - Rome,Savoia Marchetti SM-95,I-DALO,10,17,14,0,"The aircraft plunged to the ground from 6,500 feet after being struck by lightning. Lightning ignited a mixture of air and fuel fumes in the fuel tank."
01/28/1951,08:40,"Near An tung, Taiwan",Military -Royal Air Force,,"Hong Kong - Iwakuni, Japan",Short Sunderland 9 (flying boat),PP107,,16,16,0,Crashed into mountainous terrain while en route. Most likely weather related.
01/31/1951,16:45,"Off Hafnarfjorour, Iceland",Icelandair,,Vestmannaeyar Island - Reykjavík,Douglas DC-3,TF-ISG,12482,20,20,0,Crashed into the sea 2.5 miles north of the airport after a second landing attempt in snow. The first attempt was aborted because the runway lights were not visible. The crew attempted a second landing but contact was lost with the aircraft. Wreckage was found in the ocean 10 miles from the airport.
02/01/1951,,"Off Terceira, Portugal",Military - Portuguese Air Force,,,Douglas C-54,282,,14,14,0,Ditched in the ocean while on approach.
02/03/1951,,"Near Mt. Cameroun, Buea, Nigeria",Air France,,Douala - Niamey,Douglas DC-4,F-BBDO,42992,29,29,0,"Crashed into a mountain at 8,500 feet. Navigation error. Incorrect procedures followed by crew. The crew followed a different and inaccurate course."
02/14/1951,,"Yali, Colombia",Lineas Aéreas Nacionales,,,Curtiss C-46A,HK-333,,2,2,0,Cargo plane.
03/02/1951,09:12,"Sioux City, Iowa",Mid Continent Airlines,16,"Kansas City, MO - Omaha, NB - Sioux City, Iowa",Douglas DC-3,N19928,7400,25,16,0,"After a missed ILS approach , the pilot stalled the plane and crashed in poor weather conditions. A stall during a left turn too close to the ground to effect a recovery. Pilot error."
03/11/1951,,"Mt. Butler, Hong Kong",PacifiOverseas Airways,,,Douglas DC-4,HS-POS,10396,24,24,0,"Crashed into hills shortly after takeoff. Crew error. The pilot taking off under VFR, lost visual contact with the ground and attempted to return to IFR procedure too late to avoid the hills. The aircraft was named 'City of Ayudhya.'"
03/21/1951,,"Corozal, Colombia",LANSA,,,Douglas C-47,HK-315,9073,27,27,0,Crashed while on a flight to Cartagena.
03/22/1951,23:50,Over the North Atlantic,Military - U.S. Air Force,,Loring AFB - Lakeheath AFB,Douglas C-124A Globemaster,49-244,43173,53,53,0,"The aircraft suffered an catastrophiexplosion and crashed into the sea approximately 750 miles west of Limerick, Ireland. Cause unknown"
07/15/1966,,Pakistan,Military - Pakistan Air Force,,,Lockheed C-130B Hercules,24142,3768,10,10,0,Struck a mountain.
03/22/1951,,"Off Florianopolis, Brazil",Cruzeiro,,,Douglas DC-3,PP-CCX,7341,14,3,0,The No. 2 engine failed on a go-around in reduced visibility and rain and the aircraft crashed into the ocean.
03/26/1951,,"Rio Grande, Argentina",Aerolineas Argentinas,,Ushuaia - Buenos Aires,Douglas DC-3,LV-ACY,12291,20,11,2,Crashed shortly after takeoff.
04/02/1951,,"Bogota, Colombia",AVIANCA,,,Douglas DC-3,HK-142,1957,26,26,0,
04/06/1951,20:30,"Refugio Pass, near Santa Barbara, California",Southwest Airways,7,Santa Maria - Santa Barbara - Oxnard - Los Angeles,Douglas DC-3,N63439,20229,22,22,0,"The plane crashed into the north slope of Santa Ynez peak, 23 miles northwest of Santa Barbara, in poor weather. Failure of the crew to maintain minimum altitude for the route being flown for reasons unknown."
04/08/1951,11:35,"Near Charleston, West Virginia",Military - U.S. Air Force,,"Godman AFB - Charleston, WV",Douglas C-47B-DK,43-48298,25559,21,21,0,"The aircraft crashed into a wooded area, 8 miles NE of Charlston, after making a final turn to land at Kanawha County Airport. Both wings were sheared off and the aircraft burst into flames."
04/09/1951,,"Cape d'Arguilar, Hong Kong",Siamese Airways,,Bangkok - Hong Kong,Douglas DC-3,HS-SAE,,16,16,0,The pilot lost control of the aircraft while attempting too steep a turn and too  low a speed while making an approach at night in dense fog and rain and struck the ground.
04/25/1951,11:49,"Key West, Florida",Cubana de Aviacion / Military -  US Navy,493,Miami - Havana,Douglas DC-4 /Beechcraft SMB-1,CU-T188/39939,10368,43,43,0,"The plane, on a flight from Miami to Cuba, collided with a US Navy Beechcraft at 4,000 feet. Thirty-nine killed on the DC-4, four killed on the Beechcraft.  Failure of both crews to maintain sufficient vigilance under VFR conditions to prevent a collision."
04/28/1951,19:32,"Fort Wayne, Indiana",United Air Lines,129,Cleveland - Fort Wayne - South Bend - Chicago,Douglas DC-3,N16088,1927,11,11,0,The aircraft crashed after being caught in a squall line with 65-85 mph winds and heavy rain. Windshear. The severe downdraft encountered which caused the aircraft to strike the ground in a near level attitude.
05/06/1951,12:30,"Near Albuquerque, New Mexico",Military - U.S. Air Force,,,Convair B-36D,49-2660,,25,23,0,"The aircraft crashed while attempting to land at Kirkland AFB in gusty winds. The pilot appeared to have difficulty keeping the wings level. The plane crossed the threshold left of the center line. When the pilot corrected, the right starboard jet pod and No. 6 propeller struck the runway. The pilot attempted a go-around with the No.6 engine afire but crashed to earth bursting into flames."
05/08/1951,,"Bordeaux, France",Hunting Air Travel,,Bordeaux - Bovingdon,Vickers 639 Viking 1,G-AHPD,134,32,2,0,No. 1 engine failed shortly after taking off.  Altitude could not be maintained and an emergency belly landing was made in a field. The disconnecting of the articulated control rod of the propeller governor due to the lack of a split pin on the governor spindle and to the nut of the ball-joint of the control spindle having been unscrewed by force.
05/18/1951,,"Rancharia,  Brazil",VASP,,Santa Cruz de Rio Prado - Presidente Prudent,Douglas DC-3,PP-SPL,17011/34274,6,6,0,Hit a mountain in fog. Pilot's decision to fly VFR in unfavorable weather conditions.
06/03/1951,,"New Boston, Texas",Military - U.S. Air Force,,,Fairchild C-82,,,10,10,0,Struck by lightning and crashed.
06/06/1951,,"Rio de Janeiro, Brazil",Lineas Aéreas Trans. Brasileira,,,Douglas DC-3D,PP-NAL,42979,19,2,0,"Crashed into high ground while on a VFR apporach in IFR conditions. The pilot attempted a descent over an area where the minimum safe altitude was 1,200 ft."
06/15/1951,,"Medellin, Colombia",Sociedad Aeronautica Medellin,,,Douglas C-47A,HK-504,10062,3,3,0,Cargo plane.
06/22/1951,03:25,"Near Sanoyea, Liberia",Pan American World Airways,151,Johannesburg - Accra - Monrovia - New York,Lockheed 049 Constellation,N88846,2046,40,40,0,"The plane crashed into a hill at 1000 ft. in a level descending attitude, 54 miles from the airport. The pilot descended below en route minimum altitude without knowing the aircraft's position. The aircraft was named Clipper Great Republic."
06/29/1951,,"Near Rijeka, Yugoslavia",JAT Yugoslav Airlines,,Rejeka and Zagreb,Junkers 52/3m,YU-ACE,316,14,14,0,Crashed en route.
06/30/1951,02:00,"Rocky Mountain Nat. Park, near Ft. Collins, Colorado",United Air Lines,610,Salt Lake City - Denver,Douglas DC-6B,N37543,43144/155,50,50,0,"En route from San Francisco to Denver after passing the Cheyenne radio range the aircraft turned south in the wrong heading. Flying in darkness, the aircraft continued on this course until it hit Crystal Mountain. The captain may have depressed the wrong control switch or may have turned his ADF in such a way that it was affected by the radio range station at Fort Bridger, WY. Officially, the flight for reasons undetermined, failed to follow the prescribed route to Denver and continued beyond the boundary of the airway on a course which resulted in the aircraft striking mountainous terrain."
07/12/1951,,"Near Tezpur, India",Indamer,,,Douglas C-47B,VT-CHT,20662,3,3,0,Cargo plane.
07/12/1951,,"Aracaju, Brazil",Loide Aereo Nacional,,Maceio - Aracaju,Douglas DC-3,PP-LPG,14822/26267,33,33,0,Crashed during a landing attempt in adverse weather conditions under VFR and hit high ground. The pilot attempted a visual approach and made a turn at low altitude in adverse weather conditions.
11/13/1951,,"Puy-de-Dôme, France",Military - U. S. Air Force,,Frankfort - Bordeaux,Fairchild C-82 Packet,45-57801A,10171,36,36,0,Flew into Mt. Dore.
07/12/1951,22:45,"Lyneham AFB, England",Military - Royal Air Force,,,Vickers Valetta C-1,VW194,,10,10,0,One engine caught fire. The propellers of the working engine were feathered. The plane crashed.
07/16/1951,,"Off Lae, New Guinea",Qantas,,,de Havilland DHA-3 Drover II,VH-EBQ,5003,7,7,0,Crashed into the Huon Gulf after the center propeller failed.
07/20/1951,,"Thudamot, China",Air Outre-Mer,,"Pakse, Laos  - Saigon, Vietnam",Douglas C-47A,F-OABX,19634,3,3,0,Cargo plane.
07/21/1951,00:00,"Near Sitka, Alaska",Canadian PacifiAir Lines,,Vancouver - Tokyo,Douglas C-54A,CF-CPC,10327,37,37,0,"Disappeared with no trace over the PacifiOcean while flying from Vancouver to Tokyo. The last message was received while the aircraft was near Yakutat, Alaska with no reports of probems. Cause undetermined."
07/24/1951,,"Gao, Mali",Sabena,,,Douglas DC-3,OO-CBA,6327,3,3,0,The failure of the right engine during takeoff. A rupture of the hydraulicircuit with oil projection in the cockpit would have increased maneuver difficulties by restricting visibility in the cockpit
07/29/1951,,"Cochabamba, Bolivia",Loide Aéreo Nacional,,Cochabamba - Rio de Janeiro,Curtiss C-46A,CB-39,26488,7,7,0,Crashed on takeoff.
08/08/1951,,"Barilla Bay, Australia",Trans Australia Airlines,,,,VH-TAT,13083,2,2,0,Cargo plane. Loss of lateral control during a turn at low altitude soon after takeoff. The probable cause of the loss of lateral control was the presence of ice on the aircraft surface.
08/11/1951,09:25,"Moisville, France",Air France,,Training,Douglas DC-3D,F-BAXB,42971,5,5,0,"Abnormal flight maneuver made when the crew experienced difficulty in resuming normal flight on the two engines. Overspeed, reduction of pitch or difficulty in restarting the engine may have created a dangerous situation and caused the aircraft to stall in dissymmetrical flight, thus subjecting the airframe to stresses accompanied by buffeting which was either alternating or exceeded the design limits of the structure and caused the tail-plane to break off."
08/17/1951,,"Ubatuba, Brazil",REAL,,,Douglas DC-3,PP-YPX,9154,10,10,0,
08/24/1951,04:28,"Decoto, California",United Air Lines,615,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,N37550,43260/180,50,50,0,"Cleared for an approach to Oakland Municipal Airport, the aircraft crashed 15 miles SSE of the airport into Tolman peak. Patches of fog obscured the terrain. The aircraft struck a hill at an elevation of about 1,000 ft. at 225 to 240 mph. Neither of its 2 low-frequency receivers were tuned to the Oakland station and the captain may have attempted to fly by visual reference using the ADF.  As a result, the flight was 3 miles off course and well below the minimum prescribed altitude. The failure of the captain to adhere to instrument procedures in the Newark area during an approach to the Oakland Municipal  Airport."
09/08/1951,,"Sao Paulo, Brazil",VASP,,,Douglas DC-3,PP-SPQ,1559/27036,13,13,3,Crashed into a house shortly after taking off from Congonhas Airport.
09/12/1951,10:46,"Off Redwood City, California",United Air Lines,,,Boeing 377 Stratocruiser 10-34,N31230,15970,3,3,0,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected."
09/12/1951,12:30,"Off Ialas Baeares, Spain",Societe Alpes Provence,,Perpignan - Oran,Douglas DC-3,F-BEIZ,15985/32733,39,39,0,Crashed into the Mediterranean due to structural failure following loss of control in severe weather.
09/15/1951,,"Bangalore, India",Air India,,Bangalore - Trivandrum,Douglas C-47A-30-DK Dakota III,VT-CCA,13853/25298,28,22,0,Lost control and crashed when attempting to take off. Attempted to take off  with the autopilot engaged.
09/29/1951,,"La Paz, Bolivia",Frigorifico Cooperativo Los Andes,,,Curtiss C-46D-15-CU,CB-43,33346,27,27,0,
10/08/1951,,"Cerro Blanco, Mexico",Aero Transportes,,Mexico City - Villahermossa,Douglas DC-3,XA-GOR,14007/25452,8,8,0,Flew into a mountain.
10/15/1951,,"East Griqualand, South Africa",South African Airways,,Port Elizabeth - Durbin,Douglas DC-3,ZS-AVJ,6891,17,17,0,Crashed into Mt. Ingeli.
10/15/1951,,North Atlantic,Military - U.S. Air Force,,Azores - Westover AFB,Boeing C-97A Stratofreighter,49-2602,16224,12,12,0,Went missing en route.
10/17/1951,18:55,"Mt. Benson, BC, Canada",Queen Charlotte Airlines,,Kildala - Vancouver,Consolidated PBY-5A Catalina,CF-FOQ,400,23,23,0,"While flying VFR in adverse weather conditions, the pilot mistook Nanaimo for Vancouver.  The plane crashed into Mt. Benson, 20 miles west of Vancouver."
10/22/1951,,"Skopje, Yugoslavia",JAT Yugoslav Airlines,,Belgrad - Skopje,Douglas DC-3,YU-ACC,13014,12,12,0,Crashed while en route.
10/27/1951,19:00,"Near Flores, Guatemala",Military - Guatemalan Air Force,,,Douglas C-47,FAGO961,,27,25,0,Crashed and burned in jungle 170 miles north northeast of Guatemala City.  It is theorized a passenger may have started a fire in the aircraft's cabin with a cigarette.
11/05/1951,09:29,"Near Tucumcari, Arazona",Transocean Air Lines,CAM5763,Oakland - Albuquerque,Martin 202,N93039,9160,29,1,0,"Crashed while attempting to land at Albuquerque in marginal weather conditions. The captain's attempt to land during less than minimum visibility, rather than proceed to his alternate.  A military contract flight."
11/19/1951,,"Cairo, Egypt",Devlet Hava Yollari,,Ankara - Cairo,Douglas DC-3,TC-ACA,7352,5,5,0,Crashed into a sand dune while attempting to land.
11/21/1951,,"Calcutta, India",Deccan Airways,,,Douglas DC-3,VT-AUO,13265,17,16,0,The aircraft struck trees in fog during a missed approach 3 miles north of Dum Dum airport as the crew descended too low in poor visibility.
11/24/1951,,"Zurich, Switzerland",El Al,,Zurich - Rome,Douglas DC-4,4X-AND,10512,7,6,0,The cargo plane crashed on approach.
11/27/1951,,"San Luis Acatlan, Mexico",Lineas Aereas Unidas,,,DC-2-243,XA-DOQ,2077,21,13,0,
12/04/1951,07:25,"Denver, Colorado",United Air Lines,,Training,Douglas DC-3A,N17109,4999,3,3,0,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery."
12/13/1951,,"Yaramunda, Papua New Guinea",Qantas,,,de Havilland DH-84,VH-UR,,3,3,0,
12/16/1951,15:09,"Elizabeth, New Jersey",Miami Airlines,,Fort Smith - Newark,Curtiss Wright C-46F,N1678M,22572,56,56,1,"Shortly after taking off from Newark Airport the control tower noticed smoke emanating from the right engine.  Minutes later the aircraft gradually descended, its left wing dropped and the aircraft struck the roof of a vacant building. Hold-down studs in the number 10 cylinder of the right engine failed due to fatigue. Fire erupted at the base of the failed cylinder. Extension of the landing gear and loss of the right engine led to the aircraft stalling at the height of about 200 ft. The aircraft was also overloaded by 117 pounds. A stall with the landing gear extended following a serious loss of power from the right engine. This loss of power was caused by the failure of the hold-down studs of the No. 10 cylinder, precipitating a fire in flight which became uncontrollable."
